iter	Logloss
782	0.2821174025
783	0.2820781469
784	0.282039871
785	0.2820074202
786	0.2819442378
787	0.2818921965
788	0.2818583317
789	0.2818026735
790	0.2817543482
791	0.2817069049
792	0.2816687732
793	0.2816127863
794	0.2815637248
795	0.2815191977
796	0.2814601848
797	0.2814246091
798	0.2813801607
799	0.2813380154
800	0.2812929376
801	0.2812407241
802	0.2811974527
803	0.281164004
804	0.2811223816
805	0.2810818657
806	0.2810497091
807	0.280998796
808	0.2809350404
809	0.2808867059
810	0.2808322437
811	0.2808098286
812	0.2807903736
813	0.2807334103
814	0.2806976246
815	0.280652776
816	0.2806126481
817	0.28059198
818	0.2805516163
819	0.2805007492
820	0.280447038
821	0.2804036341
822	0.2803543111
823	0.2803133085
824	0.2802728683
825	0.2802287847
826	0.2801804824
827	0.2801288889
828	0.2800928048
829	0.28005467
830	0.2800088259
831	0.2799732884
832	0.2799150936
833	0.2798634987
834	0.2798074441
835	0.2797797582
836	0.2797372681
837	0.279703139
838	0.2796511748
839	0.2796071095
840	0.2795616709
841	0.2795071265
842	0.279445262
843	0.2793948242
844	0.2793525915
845	0.2793087262
846	0.2792713254
847	0.2792322956
848	0.2791905329
849	0.279137153
850	0.2790846975
851	0.2790528077
852	0.279002447
853	0.2789555447
854	0.2789124391
855	0.2788617915
856	0.2788269269
857	0.2787802206
858	0.2787433007
859	0.2787022022
860	0.2786755582
861	0.2786359514
862	0.2786035278
863	0.2785678187
864	0.2785378669
865	0.2784746883
866	0.2784474936
867	0.2784097303
868	0.2783733155
869	0.2783324838
870	0.278312171
871	0.2783009147
872	0.2782546443
873	0.2782215962
874	0.2781925971
875	0.278146483
876	0.2781092407
877	0.2780682828
878	0.2780195011
879	0.2779791988
880	0.27792679
881	0.2778847111
882	0.2778212419
883	0.277773633
884	0.2777281135
885	0.2776793692
886	0.2776351057
887	0.2775926668
888	0.2775440514
889	0.2775100244
890	0.2774626119
891	0.2774315956
892	0.2773815707
893	0.2773410963
894	0.2773032476
895	0.2772587741
896	0.2772302013
897	0.277180566
898	0.2771396655
899	0.2771061321
900	0.2770734421
901	0.2770303033
902	0.2769732181
903	0.276942506
904	0.2769021183
905	0.2768674706
906	0.2768362275
907	0.2767960018
908	0.2767682212
909	0.2767181476
910	0.2766966471
911	0.2766695316
912	0.2766291722
913	0.2765955017
914	0.2765591935
915	0.2765248947
916	0.2764973821
917	0.2764530666
918	0.276427805
919	0.2763912191
920	0.2763500203
921	0.2762994293
922	0.2762507889
923	0.2762162632
924	0.2761765716
925	0.276129992
926	0.2760960118
927	0.2760545229
928	0.2760033243
929	0.2759729046
930	0.2759290485
931	0.2758992208
932	0.2758536913
933	0.2757962781
934	0.2757642062
935	0.2757366394
936	0.2757055441
937	0.2756476803
938	0.2756076019
939	0.2755906416
940	0.2755458456
941	0.2754999482
942	0.2754585648
943	0.2754052938
944	0.2753701834
945	0.2753360644
946	0.2752935588
947	0.2752658756
948	0.275223443
949	0.2751847026
950	0.275147325
951	0.2751137693
952	0.275060012
953	0.2750275125
954	0.274993446
955	0.2749621991
956	0.274923805
957	0.2748938709
958	0.2748520143
959	0.2748296635
960	0.2747946266
961	0.2747541115
962	0.2747146391
963	0.2746717473
964	0.2746385326
965	0.2746043681
966	0.274559446
967	0.2745298539
968	0.2744589396
969	0.2744243948
970	0.2743910091
971	0.2743475262
972	0.2743024224
973	0.2742558234
974	0.2742250309
975	0.2741976003
976	0.2741613033
977	0.2741214781
978	0.2740983471
979	0.2740653452
980	0.2740404834
981	0.2739974244
982	0.2739616157
983	0.2739280288
984	0.2738908007
985	0.2738332145
986	0.2737825646
987	0.2737408366
988	0.2737000403
989	0.2736564407
990	0.2736257273
991	0.2735867447
992	0.2735548398
993	0.2735141603
994	0.2734732586
995	0.2734372085
996	0.2734023124
997	0.2733657147
998	0.2733266697
999	0.2732964708
