iter	Passed	Remaining
413	3309	4685
414	3317	4676
415	3324	4667
416	3331	4658
417	3339	4649
418	3347	4641
419	3356	4634
420	3365	4628
421	3374	4621
422	3381	4612
423	3389	4604
424	3396	4594
425	3403	4585
426	3410	4576
427	3417	4567
428	3425	4559
429	3433	4551
430	3442	4544
431	3450	4536
432	3458	4528
433	3466	4521
434	3474	4512
435	3481	4504
436	3488	4494
437	3496	4486
438	3503	4477
439	3511	4469
440	3518	4460
441	3526	4452
442	3535	4444
443	3544	4438
444	3553	4431
445	3561	4423
446	3568	4415
447	3576	4406
448	3583	4398
449	3591	4389
450	3598	4380
451	3605	4371
452	3613	4363
453	3621	4355
454	3628	4346
455	3637	4339
456	3646	4332
457	3654	4324
458	3661	4315
459	3669	4307
460	3676	4298
461	3684	4290
462	3691	4281
463	3699	4273
464	3707	4265
465	3715	4257
466	3724	4251
467	3732	4243
468	3740	4234
469	3747	4226
470	3755	4218
471	3762	4209
472	3770	4201
473	3777	4192
474	3785	4184
475	3794	4176
476	3802	4169
477	3811	4162
478	3818	4153
479	3827	4146
480	3834	4137
481	3842	4129
482	3850	4121
483	3857	4112
484	3864	4103
485	3872	4095
486	3880	4088
487	3889	4080
488	3897	4072
489	3905	4064
490	3913	4056
491	3920	4047
492	3927	4038
493	3935	4031
494	3942	4022
495	3950	4014
496	3958	4006
497	3967	3999
498	3975	3991
499	3983	3983
500	3991	3975
501	3997	3966
502	4005	3957
503	4012	3948
504	4020	3940
505	4027	3932
506	4034	3923
507	4042	3915
508	4051	3908
509	4060	3901
510	4069	3894
511	4077	3885
512	4084	3877
513	4091	3869
514	4100	3861
515	4107	3852
516	4115	3844
517	4122	3836
518	4131	3829
519	4140	3821
520	4148	3814
521	4157	3807
522	4165	3798
523	4173	3790
524	4180	3782
525	4187	3773
526	4195	3765
527	4203	3757
528	4210	3749
529	4218	3740
530	4226	3733
531	4234	3725
532	4243	3717
533	4251	3710
534	4259	3702
535	4266	3693
536	4274	3685
537	4281	3676
538	4289	3668
539	4296	3660
540	4305	3653
541	4315	3646
542	4324	3639
543	4332	3631
544	4340	3623
545	4348	3615
546	4354	3606
547	4362	3598
548	4370	3590
549	4377	3581
550	4385	3573
551	4395	3567
552	4403	3559
553	4412	3551
554	4420	3544
555	4428	3536
556	4435	3527
557	4443	3519
558	4450	3511
559	4458	3502
560	4465	3494
561	4473	3486
562	4482	3479
563	4491	3471
564	4499	3464
565	4507	3456
566	4514	3447
567	4522	3439
568	4530	3431
569	4537	3423
570	4545	3414
571	4553	3406
572	4561	3398
573	4569	3391
574	4578	3383
575	4586	3376
576	4594	3368
577	4602	3360
578	4610	3352
579	4617	3343
580	4625	3335
581	4633	3327
582	4640	3319
583	4650	3312
584	4659	3305
585	4667	3297
586	4674	3289
587	4682	3280
588	4689	3272
589	4696	3263
590	4703	3255
591	4711	3246
592	4718	3238
593	4726	3230
594	4735	3223
595	4744	3215
596	4753	3208
597	4762	3201
598	4769	3192
599	4776	3184
600	4783	3175
601	4791	3167
602	4799	3159
603	4806	3151
604	4815	3143
605	4824	3136
606	4833	3129
607	4842	3122
608	4850	3114
609	4858	3106
610	4865	3097
611	4873	3089
612	4880	3081
613	4888	3072
614	4896	3065
615	4906	3058
616	4914	3050
617	4921	3042
618	4928	3033
619	4936	3025
620	4943	3017
621	4951	3008
622	4958	3000
623	4965	2992
624	4973	2984
625	4982	2976
626	4991	2969
627	4999	2961
628	5006	2953
629	5013	2944
630	5021	2936
631	5028	2928
632	5035	2919
633	5043	2911
634	5050	2903
635	5059	2895
636	5067	2887
637	5075	2879
638	5084	2872
639	5092	2864
640	5101	2857
641	5108	2848
642	5115	2840
643	5123	2832
644	5130	2823
645	5138	2815
646	5146	2807
647	5154	2799
648	5161	2791
649	5169	2783
650	5177	2775
651	5185	2767
652	5192	2759
653	5200	2751
654	5208	2743
655	5215	2734
656	5222	2726
657	5230	2718
658	5239	2710
659	5248	2703
660	5256	2695
661	5264	2687
662	5272	2679
663	5280	2671
664	5287	2663
665	5295	2655
666	5303	2647
667	5311	2639
668	5319	2631
669	5328	2624
670	5336	2616
671	5344	2608
672	5351	2600
673	5359	2592
674	5366	2584
675	5374	2576
676	5383	2568
677	5392	2560
678	5401	2553
679	5409	2545
680	5416	2537
681	5424	2529
682	5431	2520
683	5439	2512
684	5447	2504
685	5454	2496
686	5463	2488
687	5471	2481
688	5480	2473
689	5489	2466
690	5497	2458
691	5505	2450
692	5512	2442
693	5519	2433
694	5527	2425
695	5534	2417
696	5542	2409
697	5550	2401
698	5558	2393
699	5566	2385
700	5575	2378
701	5583	2370
702	5591	2362
703	5599	2354
704	5606	2346
705	5613	2337
706	5620	2329
707	5628	2321
708	5636	2313
709	5645	2305
710	5653	2298
711	5662	2290
712	5669	2282
713	5677	2274
714	5685	2266
715	5692	2257
716	5699	2249
717	5707	2241
718	5715	2233
719	5724	2226
720	5732	2218
721	5741	2210
722	5748	2202
723	5755	2194
724	5763	2186
725	5771	2178
726	5778	2169
727	5785	2161
728	5793	2153
729	5802	2146
730	5810	2138
731	5819	2130
732	5827	2122
733	5834	2114
734	5841	2106
735	5849	2098
736	5856	2089
737	5864	2081
738	5870	2073
739	5878	2065
740	5885	2057
741	5893	2049
742	5901	2041
743	5910	2033
744	5918	2025
745	5925	2017
746	5933	2009
747	5941	2001
748	5948	1993
749	5955	1985
750	5963	1977
751	5972	1969
752	5981	1962
753	5990	1954
754	5999	1946
755	6006	1938
756	6014	1930
757	6021	1922
758	6029	1914
759	6036	1906
760	6043	1897
761	6050	1889
762	6057	1881
763	6065	1873
764	6073	1865
765	6081	1857
766	6089	1849
767	6097	1841
768	6105	1833
769	6112	1825
770	6119	1817
771	6127	1809
772	6134	1801
773	6143	1793
774	6152	1786
775	6161	1778
776	6170	1770
777	6178	1763
778	6186	1755
779	6193	1747
780	6201	1738
781	6208	1730
782	6215	1722
783	6223	1714
784	6232	1706
785	6240	1699
786	6250	1691
787	6260	1684
788	6268	1676
789	6275	1668
790	6283	1660
791	6290	1652
792	6298	1644
793	6306	1636
794	6313	1628
795	6322	1620
796	6331	1612
797	6340	1604
798	6349	1597
799	6357	1589
800	6364	1581
801	6372	1573
802	6379	1565
803	6386	1557
804	6393	1548
805	6401	1540
806	6408	1532
807	6416	1524
808	6425	1517
809	6434	1509
810	6443	1501
811	6450	1493
812	6457	1485
813	6465	1477
814	6472	1469
815	6480	1461
816	6487	1453
817	6494	1445
818	6502	1437
819	6511	1429
820	6521	1421
821	6530	1414
822	6538	1406
823	6545	1398
824	6552	1389
825	6560	1381
826	6568	1374
827	6575	1365
828	6583	1358
829	6591	1350
830	6600	1342
831	6609	1334
832	6617	1326
833	6625	1318
834	6633	1310
835	6640	1302
836	6647	1294
837	6655	1286
838	6662	1278
839	6670	1270
840	6678	1262
841	6687	1254
842	6696	1247
843	6705	1239
844	6712	1231
845	6720	1223
846	6727	1215
847	6735	1207
848	6742	1199
849	6749	1191
850	6757	1183
851	6765	1175
852	6773	1167
853	6783	1159
854	6792	1151
855	6800	1143
856	6807	1135
857	6814	1127
858	6821	1119
859	6828	1111
860	6834	1103
861	6842	1095
862	6849	1087
863	6856	1079
864	6864	1071
865	6873	1063
866	6880	1055
867	6887	1047
868	6894	1039
869	6902	1031
870	6909	1023
871	6915	1015
872	6924	1007
873	6932	999
874	6940	991
875	6948	983
876	6956	975
877	6964	967
878	6972	959
879	6979	951
880	6987	943
881	6994	935
882	7002	927
883	7010	919
884	7019	912
885	7028	904
886	7037	896
887	7045	888
888	7053	880
889	7059	872
890	7067	864
891	7074	856
892	7082	848
893	7090	840
894	7098	832
895	7107	825
896	7116	817
897	7126	809
898	7133	801
899	7140	793
900	7147	785
901	7154	777
902	7162	769
903	7169	761
904	7177	753
905	7185	745
906	7194	737
907	7203	729
908	7211	721
909	7219	714
910	7226	705
911	7234	698
912	7241	690
913	7249	682
914	7256	674
915	7264	666
916	7271	658
917	7280	650
918	7289	642
919	7298	634
920	7306	626
921	7314	618
922	7321	610
923	7329	602
924	7336	594
925	7344	586
926	7351	578
927	7359	571
928	7369	563
929	7377	555
930	7386	547
931	7394	539
932	7402	531
933	7409	523
934	7417	515
935	7424	507
936	7431	499
937	7439	491
938	7446	483
939	7454	475
940	7462	467
941	7472	460
942	7481	452
943	7490	444
944	7497	436
945	7504	428
946	7511	420
947	7518	412
948	7526	404
949	7533	396
950	7541	388
951	7549	380
952	7558	372
953	7567	364
954	7577	357
955	7585	349
956	7592	341
957	7600	333
958	7607	325
959	7614	317
960	7621	309
961	7628	301
962	7635	293
963	7643	285
964	7651	277
965	7660	269
966	7668	261
967	7676	253
968	7683	245
969	7690	237
970	7698	229
971	7705	221
972	7712	214
973	7720	206
974	7728	198
975	7736	190
976	7745	182
977	7753	174
978	7760	166
979	7767	158
980	7775	150
981	7783	142
982	7790	134
983	7797	126
984	7806	118
985	7815	110
986	7824	103
987	7832	95
988	7840	87
989	7847	79
990	7854	71
991	7861	63
992	7868	55
993	7876	47
994	7884	39
995	7893	31
996	7902	23
997	7910	15
998	7918	7
999	7926	0
